
//手机版本:https://88qq.lanzouk.com/b08cryz9g
//软件库https://88qq.lanzouk.com/b08crs12j


✨江西电信,#genre#
CCTV-1综合[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221225699/iptv8040.smil
CCTV-2财经[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226825/59814584.smil
CCTV-3综艺[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226930/65406412.smil
CCTV-3综艺[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226841/63329606.smil
CCTV-4国际[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226838/59814684.smil
CCTV-4美洲[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226962/77799052.smil
CCTV-4欧洲[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226964/77799053.smil
CCTV-5体育[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226907/65396401.smil
CCTV-5体育[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226852/63329574.smil
CCTV-5+赛事[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226976/85722488.smil
CCTV-6电影[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226909/65396493.smil
CCTV-6电影[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226843/63329570.smil
CCTV-7军事[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226827/59814693.smil
CCTV-8电视剧[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226911/65406606.smil
CCTV-8电视剧[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226854/63329578.smil
CCTV-9纪录[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226840/59814699.smil
CCTV-10科教[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226630/51813372.smil
CCTV-11戏曲[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226986/85722616.smil
CCTV-12社会[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226829/59814709.smil
CCTV-13新闻[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221227037/87447722.smil
//手机版本:https://88qq.lanzouk.com/b08cryz9g    交流群：189203334
//软件库https://88qq.lanzouk.com/b08crs12j
CCTV-14少儿[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226634/51813368.smil
CCTV-15音乐[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226988/85722541.smil
CCTV-16_4K[3840*2160],rtsp://115.153.233.154/PLTV/88888888/224/3221227051/92603106.smil
CCTV-17农业[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226846/61397282.smil
CCTV-精品[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226957/86128679.smil
CCTV-台球[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226955/86106661.smil
CCTV-风云剧场[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226963/86128874.smil
CCTV-风云音乐[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226994/86128897.smil
CCTV-风云足球[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221227000/86128919.smil
CCTV-高尔夫网球[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226967/86128985.smil
CCTV-怀旧剧场[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226996/86128881.smil
CCTV-时尚[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226998/86128978.smil
CCTV-世界地理[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226965/86128966.smil
江西都市高清[1920*1080],rtsp://115.153.233.154/PLTV/88888888/224/3221227069/94448631.smil
江西公共农业[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226708/53213097.smil
江西教育[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226942/69552502.smil
江西经济生活[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226946/70055407.smil
江西少儿[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226938/68733921.smil
江西卫视[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226656/46275837.smil
江西新闻[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226650/53190437.smil
江西移动[1920*1080],rtsp://115.153.233.154/PLTV/88888888/224/3221227070/96801473.smil
爱上4K[3840*2160],rtsp://115.153.245.70/PLTV/88888888/224/3221227025/86502164.smil
CHC-动作电影[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226992/86128817.smil
CHC-高清电影[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226990/86128784.smil
CHC-家庭影院[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226959/86128800.smil
爱体育[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221227044/86502115.smil
安徽卫视[1920*1080],rtsp://115.153.245.70/PLTV/88888888/224/3221226622/51176344.smil
